Closed,StockExchange,Ticker,Time
15.3,hnx,ART,2021-12-20T00:00:00.000Z
21.1,hose,ASM,2021-12-20T00:00:00.000Z
22,hnx,BAB,2021-12-20T00:00:00.000Z
11.3,upcom,BCA,2021-12-20T00:00:00.000Z
25.5,hnx,BCC,2021-12-20T00:00:00.000Z
68,hose,BCM,2021-12-20T00:00:00.000Z
61.1,hose,BHN,2021-12-20T00:00:00.000Z
44.6,hose,BID,2021-12-20T00:00:00.000Z
13.3,hnx,BII,2021-12-20T00:00:00.000Z
62.2,hose,BMP,2021-12-20T00:00:00.000Z
24.1,upcom,BMS,2021-12-20T00:00:00.000Z
43.4,hnx,BNA,2021-12-20T00:00:00.000Z
14.3,upcom,BOT,2021-12-20T00:00:00.000Z
21.8,upcom,BSR,2021-12-20T00:00:00.000Z
6.8,upcom,BTN,2021-12-20T00:00:00.000Z
11.5,hnx,BTS,2021-12-20T00:00:00.000Z
23,upcom,BVB,2021-12-20T00:00:00.000Z
7.3,upcom,BVG,2021-12-20T00:00:00.000Z
56.6,hose,BVH,2021-12-20T00:00:00.000Z
38.8,hnx,BVS,2021-12-20T00:00:00.000Z
44.6,hose,BWE,2021-12-20T00:00:00.000Z
24.4,upcom,C4G,2021-12-20T00:00:00.000Z
18.6,hnx,C69,2021-12-20T00:00:00.000Z
27,upcom,CBI,2021-12-20T00:00:00.000Z
7.8,upcom,CDO,2021-12-20T00:00:00.000Z
18.2,upcom,CEN,2021-12-20T00:00:00.000Z
56,hnx,CEO,2021-12-20T00:00:00.000Z
38.5,hose,CII,2021-12-20T00:00:00.000Z
26.5,upcom,CLX,2021-12-20T00:00:00.000Z
34.9,hnx,CMS,2021-12-20T00:00:00.000Z
129.9,hnx,CSC,2021-12-20T00:00:00.000Z
16.4,upcom,CST,2021-12-20T00:00:00.000Z
8.1,hnx,CTC,2021-12-20T00:00:00.000Z
88.8,hose,CTD,2021-12-20T00:00:00.000Z
32.45,hose,CTG,2021-12-20T00:00:00.000Z
82.4,upcom,CTR,2021-12-20T00:00:00.000Z
11.8,hnx,CVN,2021-12-20T00:00:00.000Z
72.3,hose,DBC,2021-12-20T00:00:00.000Z
37.8,hose,DCM,2021-12-20T00:00:00.000Z
30.9,hnx,DDG,2021-12-20T00:00:00.000Z
28.3,upcom,DDV,2021-12-20T00:00:00.000Z
25.6,upcom,DFF,2021-12-20T00:00:00.000Z
167.5,hose,DGC,2021-12-20T00:00:00.000Z
35.9,upcom,DGT,2021-12-20T00:00:00.000Z
123.8,hose,DGW,2021-12-20T00:00:00.000Z
84.9,hose,DHC,2021-12-20T00:00:00.000Z
128.5,hose,DHG,2021-12-20T00:00:00.000Z
87,hose,DIG,2021-12-20T00:00:00.000Z
15.3,hnx,DL1,2021-12-20T00:00:00.000Z
50.4,hose,DPM,2021-12-20T00:00:00.000Z
16.5,upcom,DRI,2021-12-20T00:00:00.000Z
10.3,hnx,DST,2021-12-20T00:00:00.000Z
11.8,hnx,DTC,2021-12-20T00:00:00.000Z
52.5,hnx,DTD,2021-12-20T00:00:00.000Z
22.7,hnx,DVG,2021-12-20T00:00:00.000Z
26,upcom,DVN,2021-12-20T00:00:00.000Z
35.5,hose,DXG,2021-12-20T00:00:00.000Z
21.5,hnx,DXP,2021-12-20T00:00:00.000Z
26.45,hose,EIB,2021-12-20T00:00:00.000Z
16.3,upcom,EIN,2021-12-20T00:00:00.000Z
19,upcom,EVF,2021-12-20T00:00:00.000Z
41.5,hnx,EVS,2021-12-20T00:00:00.000Z
8.5,hnx,FID,2021-12-20T00:00:00.000Z
17.95,hose,FLC,2021-12-20T00:00:00.000Z
95.8,hose,FPT,2021-12-20T00:00:00.000Z
23.2,upcom,G36,2021-12-20T00:00:00.000Z
96.7,hose,GAS,2021-12-20T00:00:00.000Z
19.4,hose,GEG,2021-12-20T00:00:00.000Z
39.9,hose,GEX,2021-12-20T00:00:00.000Z
39.2,hnx,GKM,2021-12-20T00:00:00.000Z
48.2,hose,GMD,2021-12-20T00:00:00.000Z
21.35,hose,GTN,2021-12-20T00:00:00.000Z
37.6,hose,GVR,2021-12-20T00:00:00.000Z
17.2,upcom,HAC,2021-12-20T00:00:00.000Z
12.75,hose,HAG,2021-12-20T00:00:00.000Z
25.5,hose,HBC,2021-12-20T00:00:00.000Z
16.5,hnx,HBS,2021-12-20T00:00:00.000Z
47,hose,HCM,2021-12-20T00:00:00.000Z
37.7,upcom,HD6,2021-12-20T00:00:00.000Z
29.6,hose,HDB,2021-12-20T00:00:00.000Z
61.7,hose,HDG,2021-12-20T00:00:00.000Z
8.5,hnx,HHG,2021-12-20T00:00:00.000Z
12.5,hose,HHS,2021-12-20T00:00:00.000Z
25.6,upcom,HHV,2021-12-20T00:00:00.000Z
41,upcom,HMS,2021-12-20T00:00:00.000Z
10.7,hose,HNG,2021-12-20T00:00:00.000Z
9.5,hnx,HOM,2021-12-20T00:00:00.000Z
46.9,hose,HPG,2021-12-20T00:00:00.000Z
34.5,hose,HPX,2021-12-20T00:00:00.000Z
8.26,hose,HQC,2021-12-20T00:00:00.000Z
35.7,hose,HSG,2021-12-20T00:00:00.000Z
15.4,upcom,HSV,2021-12-20T00:00:00.000Z
22.8,hose,HT1,2021-12-20T00:00:00.000Z
8.2,upcom,HTE,2021-12-20T00:00:00.000Z
27.9,upcom,HU4,2021-12-20T00:00:00.000Z
18.8,hnx,HUT,2021-12-20T00:00:00.000Z
23.7,hose,HVN,2021-12-20T00:00:00.000Z
